,Airport_1,Airport_2,sum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
27,ATL,CLT,40722,33.0322580645,33.5714285714,36.7741935484,36.2,35.8709677419,36.5333333333,35.8387096774,35.8709677419,38.7333333333,39.5806451613,38.0333333333,35.4193548387,37.8709677419,36.9642857143,38.5483870968,38.7333333333,38.3870967742,39.0,38.4516129032,38.3870967742,38.2666666667,37.5483870968,37.1666666667,33.6129032258,34.7419354839,35.4482758621,37.7096774194,37.9666666667,38.1290322581,40.2333333333,39.7419354839,39.935483871,37.0666666667,37.2258064516,36.5333333333,34.2580645161
28,HNL,KOA,40637,34.1290322581,34.0,33.9677419355,33.9333333333,34.3225806452,38.0,39.8709677419,40.064516129,36.6666666667,36.6451612903,35.8,35.935483871,37.4838709677,37.4285714286,36.2580645161,36.0,37.5483870968,43.2666666667,43.4838709677,43.1290322581,37.6666666667,36.5806451613,33.8333333333,33.2580645161,33.2258064516,33.0,35.5483870968,36.7,36.8387096774,40.8666666667,41.8064516129,42.7419354839,36.4,35.6129032258,35.5333333333,36.7096774194
29,ATL,DCA,40534,37.1935483871,37.9285714286,39.4193548387,39.5333333333,39.0322580645,38.4666666667,37.4193548387,37.3548387097,37.9,38.7741935484,37.2666666667,36.5483870968,36.1935483871,37.3214285714,38.7741935484,39.9,39.8064516129,39.5333333333,39.0967741935,39.1612903226,39.3333333333,39.0322580645,38.9333333333,37.6451612903,36.4516129032,38.2068965517,37.7096774194,36.8666666667,36.7096774194,36.7333333333,35.9032258065,31.0967741935,30.5333333333,29.6129032258,30.1666666667,30.0967741935
30,LAX,SJC,40160,49.0,49.4642857143,48.5483870968,51.2333333333,48.2258064516,48.0666666667,48.3548387097,41.6129032258,40.9333333333,38.7096774194,37.6,36.1290322581,37.5483870968,38.2142857143,38.1612903226,43.7,44.0,42.7333333333,42.5483870968,40.6774193548,36.7,28.6451612903,28.3,25.0322580645,26.064516129,27.8620689655,28.4838709677,31.1333333333,30.5806451613,28.9,27.3225806452,28.2580645161,29.2333333333,27.0967741935,26.8,24.2580645161
31,DEN,LAS,39973,33.8064516129,35.4642857143,37.8064516129,38.3,37.9032258065,35.2,34.4838709677,33.5806451613,33.8,33.5161290323,33.2333333333,29.6129032258,33.8387096774,35.5714285714,41.3225806452,42.4333333333,40.6774193548,37.1666666667,36.6451612903,36.1612903226,34.9333333333,36.1935483871,37.7333333333,36.1935483871,37.4193548387,38.9310344828,39.0,38.7666666667,36.6129032258,35.5666666667,35.2580645161,35.9032258065,37.8666666667,38.4516129032,37.6666666667,36.0967741935
32,ANC,SEA,39543,24.3870967742,24.7142857143,24.1290322581,23.9333333333,33.6129032258,44.7333333333,45.2258064516,47.2258064516,41.7333333333,32.4838709677,29.7,31.9677419355,30.6129032258,29.2857142857,29.4516129032,29.7666666667,40.0967741935,48.8333333333,52.935483871,52.935483871,43.9,31.3870967742,30.3,31.4193548387,30.3548387097,29.5517241379,29.0,28.1333333333,39.8064516129,49.8333333333,51.0967741935,51.5806451613,41.1666666667,30.9677419355,29.7666666667,30.935483871
33,LAX,OAK,39539,35.0,35.1428571429,35.0967741935,35.6,34.8387096774,37.8,38.4193548387,37.6129032258,38.0666666667,38.0,37.4666666667,36.2903225806,37.0,38.0,38.5806451613,38.7333333333,37.6129032258,38.8333333333,39.9677419355,39.4838709677,36.6666666667,37.8709677419,32.9666666667,36.0322580645,29.9677419355,28.2413793103,29.6129032258,38.4666666667,39.2258064516,38.4,36.7096774194,36.6774193548,32.4,34.2580645161,32.1,31.3225806452
34,DEN,SFO,39495,31.3225806452,30.6428571429,31.3225806452,34.0,34.8387096774,36.1,37.0322580645,35.4516129032,33.8333333333,34.3870967742,32.5666666667,32.4193548387,27.5161290323,27.0714285714,27.9677419355,30.8,31.4193548387,32.2666666667,33.0322580645,33.9032258065,30.7333333333,31.5161290323,33.4,35.0967741935,29.3870967742,29.275862069,39.6129032258,44.1,45.6129032258,48.6333333333,49.3225806452,50.6129032258,47.3,46.4193548387,43.6666666667,43.3548387097
35,ATL,ORD,39292,24.7096774194,26.8928571429,31.1612903226,29.6333333333,23.1935483871,23.5,23.7741935484,25.9677419355,27.0333333333,32.3870967742,33.1,32.064516129,32.0967741935,33.6428571429,36.9032258065,41.5,38.2258064516,40.7333333333,39.1290322581,40.3870967742,43.6333333333,46.2258064516,42.6333333333,35.4193548387,32.7419354839,35.7931034483,37.935483871,42.5666666667,47.935483871,43.9,43.2258064516,43.935483871,43.0333333333,41.9677419355,38.6333333333,34.5483870968
36,LGA,MIA,39225,37.2903225806,38.5,38.064516129,35.3333333333,33.2258064516,33.4,33.4193548387,32.8064516129,29.9666666667,30.7096774194,34.0666666667,37.7419354839,39.5483870968,39.3928571429,39.935483871,39.9333333333,37.0322580645,37.2666666667,37.6129032258,37.6774193548,36.2666666667,35.4193548387,33.7333333333,37.4516129032,34.9677419355,34.8965517241,35.3870967742,35.7666666667,35.5161290323,35.6,35.2580645161,35.0967741935,34.1333333333,33.7419354839,34.9,37.6129032258
37,DEN,DFW,38738,35.0,34.4285714286,34.7419354839,34.8,34.8064516129,37.4,37.0322580645,36.7096774194,36.3,34.9032258065,33.8,34.8387096774,35.1290322581,33.25,35.6451612903,34.8333333333,36.2903225806,39.4,39.1612903226,39.0,36.7333333333,37.7419354839,35.6333333333,36.1935483871,36.064516129,35.6896551724,36.6451612903,34.7666666667,33.1290322581,36.2666666667,37.1612903226,36.5483870968,32.2,32.2580645161,29.3,28.2580645161
38,MSP,ORD,38465,22.1612903226,22.6785714286,23.1612903226,21.5,22.0,24.8333333333,24.0967741935,24.4516129032,28.1,32.1290322581,34.7,28.9677419355,31.8064516129,35.3214285714,36.5806451613,38.5,40.0967741935,40.5,39.0,39.9032258065,39.1666666667,38.3225806452,39.9666666667,35.9677419355,34.7741935484,38.5862068966,35.4193548387,42.6333333333,48.0,45.0333333333,42.3548387097,44.0322580645,45.2,45.2258064516,42.2,35.8064516129
39,ATL,BWI,38424,34.4838709677,34.25,37.4838709677,37.1666666667,36.1290322581,35.4666666667,34.4838709677,36.0967741935,35.9,35.9032258065,31.5,30.1290322581,29.4838709677,29.9285714286,33.2580645161,34.9,34.7096774194,37.0333333333,37.9032258065,38.3225806452,37.6,37.3548387097,36.5,34.5806451613,31.2580645161,32.2068965517,37.0,36.1333333333,35.6451612903,36.3,35.4516129032,37.2903225806,35.2,35.6129032258,35.1333333333,33.8064516129
40,HNL,LIH,38313,31.8064516129,31.7142857143,33.1612903226,33.6,34.0,35.6666666667,35.6129032258,35.8709677419,33.7333333333,33.8064516129,34.5666666667,34.5483870968,33.8709677419,33.6785714286,33.6129032258,33.6666666667,34.6451612903,37.6,37.8064516129,37.6774193548,33.1333333333,31.935483871,34.9333333333,34.9032258065,35.6129032258,35.4482758621,35.3870967742,36.2333333333,36.4516129032,40.8666666667,39.7419354839,38.3870967742,33.8,32.7741935484,33.5333333333,34.3225806452
41,BOS,LGA,37909,19.7096774194,23.0,23.0967741935,24.1333333333,22.5483870968,23.7666666667,23.4838709677,22.6451612903,23.5333333333,24.7741935484,42.6666666667,32.5483870968,43.5806451613,50.2857142857,51.1935483871,51.6,47.4516129032,50.8666666667,36.6774193548,36.5806451613,38.8666666667,39.3548387097,35.5333333333,25.8709677419,39.5806451613,43.4827586207,36.7741935484,35.0333333333,34.5483870968,37.7,34.0322580645,37.7419354839,36.6666666667,35.935483871,37.5333333333,24.0967741935
42,DCA,ORD,36691,23.6451612903,23.1428571429,26.0,27.4666666667,34.1612903226,39.8,36.2580645161,37.6774193548,37.2333333333,39.0,34.6666666667,31.1935483871,30.0967741935,33.9642857143,35.4516129032,40.4,41.6451612903,35.5333333333,35.2580645161,36.7419354839,36.9333333333,36.9677419355,34.9666666667,29.1935483871,27.1612903226,27.2413793103,27.8709677419,33.2333333333,36.5483870968,35.6666666667,34.5161290323,33.9677419355,32.9,33.8709677419,35.1666666667,29.0
43,BOS,PHL,35817,34.3870967742,37.0714285714,37.5483870968,38.6666666667,38.0,38.3333333333,38.7419354839,37.8709677419,38.5333333333,38.7741935484,33.7333333333,26.0,30.3870967742,31.8214285714,32.7419354839,32.9333333333,31.1935483871,33.0,33.0967741935,32.3225806452,34.2666666667,33.3225806452,31.9333333333,26.5483870968,28.3548387097,31.1379310345,30.7419354839,29.4333333333,31.6451612903,31.8666666667,31.8709677419,31.5806451613,29.2333333333,28.6451612903,27.2666666667,23.935483871
44,LAS,PHX,35772,32.8387096774,33.2142857143,34.2580645161,33.7333333333,33.4516129032,35.2,34.8064516129,33.3225806452,31.7333333333,32.8387096774,31.7,32.8709677419,33.0,33.1785714286,34.064516129,32.8666666667,32.5161290323,34.5333333333,33.935483871,33.3548387097,30.3666666667,30.935483871,32.0,32.3548387097,32.935483871,33.4137931034,34.3548387097,33.2333333333,32.935483871,32.7666666667,32.2903225806,31.0,29.6,30.2258064516,29.9,29.2903225806
45,DEN,SEA,35695,27.3870967742,26.8571428571,28.7741935484,27.9,31.2903225806,35.0333333333,35.5806451613,35.0322580645,34.0333333333,31.7096774194,27.8333333333,28.064516129,23.1290322581,22.8571428571,25.8709677419,28.4,30.3225806452,36.3,37.1935483871,37.1935483871,32.5333333333,34.8064516129,31.0666666667,31.7419354839,28.1290322581,26.9655172414,31.5483870968,33.4333333333,33.8709677419,42.8,45.064516129,46.3870967742,39.3,36.5483870968,33.5666666667,32.4516129032
46,LAX,SMF,35586,35.9677419355,36.4285714286,36.0322580645,38.2666666667,37.9032258065,37.9333333333,37.0967741935,36.4516129032,36.5,37.9032258065,39.7,37.4838709677,35.4516129032,38.3928571429,34.1612903226,38.1666666667,39.2258064516,33.1666666667,32.1612903226,33.6129032258,37.3666666667,34.0,24.1666666667,20.9677419355,23.4838709677,24.5862068966,27.0322580645,28.2333333333,27.4516129032,28.4333333333,26.9677419355,27.2903225806,25.9333333333,27.064516129,30.1,24.5161290323
47,ATL,LAX,35420,25.1612903226,24.6071428571,25.3225806452,25.4666666667,25.3225806452,31.2666666667,32.5483870968,31.7419354839,27.6666666667,27.6129032258,25.3666666667,25.9677419355,24.3870967742,24.4285714286,32.4516129032,32.7,36.3225806452,37.3666666667,37.1290322581,37.935483871,36.7666666667,36.5806451613,36.0,37.3548387097,33.9032258065,33.3448275862,34.3548387097,35.9,36.064516129,37.7,38.0322580645,37.4516129032,34.4333333333,34.6774193548,34.1,34.7741935484
48,ATL,MIA,35362,36.9677419355,37.1428571429,37.4838709677,37.3333333333,36.7741935484,35.7666666667,34.7419354839,35.2903225806,35.3333333333,29.5483870968,27.1666666667,26.935483871,27.7419354839,29.4285714286,33.0,31.2666666667,31.5483870968,33.3333333333,33.4193548387,31.7096774194,29.4333333333,30.8709677419,29.0666666667,29.0967741935,28.3870967742,29.3793103448,29.8387096774,30.0,35.2903225806,31.8666666667,31.7419354839,32.3225806452,33.2666666667,35.0322580645,33.0,31.0
49,LAS,SEA,35195,24.7419354839,26.25,29.3548387097,33.8,33.6129032258,34.8333333333,34.6129032258,33.9677419355,32.4,32.4516129032,30.7333333333,30.2580645161,28.0,30.3928571429,32.7741935484,31.4,28.8387096774,29.2333333333,29.0,28.6774193548,30.0666666667,31.5806451613,30.1666666667,32.064516129,27.935483871,28.8275862069,30.5483870968,33.1666666667,37.935483871,38.7333333333,38.5806451613,38.5483870968,36.4,36.2258064516,35.6333333333,33.7096774194
50,ATL,MSY,35114,28.7096774194,29.25,29.4516129032,29.3333333333,29.0322580645,28.4666666667,27.8709677419,27.9032258065,28.1333333333,29.4193548387,27.2,25.5161290323,25.8064516129,29.7142857143,32.8709677419,34.1,35.7419354839,36.0,35.8064516129,35.5483870968,35.6333333333,33.9032258065,34.0333333333,32.2903225806,30.4516129032,31.7931034483,32.6451612903,35.4666666667,36.064516129,36.4,35.0967741935,36.2580645161,35.0666666667,34.8064516129,35.1333333333,32.2903225806
51,PHX,SEA,35088,25.3870967742,26.25,30.2580645161,29.2333333333,27.8709677419,29.4333333333,29.4516129032,28.1612903226,26.1333333333,27.064516129,25.9333333333,29.6451612903,33.9032258065,36.8571428571,39.3225806452,35.9333333333,33.8709677419,35.2666666667,35.4838709677,34.3870967742,30.8,30.8387096774,31.3666666667,32.8709677419,31.3225806452,31.8965517241,36.8387096774,36.9333333333,36.2580645161,36.2333333333,36.6129032258,34.6774193548,30.6,31.7741935484,30.9,32.4838709677
52,PHX,SLC,35075,31.9032258065,32.0714285714,33.6129032258,33.3,32.4516129032,32.9666666667,34.5806451613,34.1935483871,31.2666666667,34.0967741935,31.8666666667,34.1935483871,35.2580645161,35.5714285714,35.3225806452,33.4,32.7419354839,32.8666666667,32.6451612903,32.7419354839,30.9666666667,32.1290322581,29.2333333333,30.4516129032,30.3225806452,30.7586206897,31.7419354839,28.3,27.3225806452,31.4333333333,31.2903225806,31.5483870968,30.0,33.3870967742,28.1333333333,27.9677419355
53,EWR,SFO,34983,25.2903225806,23.4642857143,25.9032258065,28.7,30.6774193548,34.9666666667,34.9032258065,34.6774193548,32.3333333333,31.4838709677,29.0333333333,29.2903225806,24.0967741935,23.1428571429,26.1612903226,27.7333333333,30.0,34.9,34.7096774194,34.0,31.3666666667,31.8709677419,32.6,31.935483871,26.1612903226,25.8275862069,30.4516129032,34.0333333333,35.9032258065,39.8,39.1290322581,40.935483871,38.5666666667,40.5806451613,37.4333333333,35.5483870968
54,DEN,MSP,34708,26.064516129,27.4285714286,29.064516129,26.1333333333,27.5806451613,29.6666666667,29.7419354839,30.6129032258,31.8666666667,31.935483871,30.2333333333,28.2903225806,27.5161290323,27.6428571429,31.3225806452,33.2,33.8709677419,36.2666666667,36.2903225806,35.8709677419,33.6333333333,34.5483870968,32.8333333333,33.8387096774,29.4838709677,30.2413793103,31.5483870968,32.3,33.1612903226,35.6,36.6129032258,36.1935483871,35.2,32.935483871,30.2333333333,30.4193548387
