,Airport,origin_count,dest_count,Total_Flights
151,MLU,9590.0,9592.0,19182.0
152,MGM,9472.0,9469.0,18941.0
153,PSC,9383.0,9383.0,18766.0
154,ATW,9198.0,9203.0,18401.0
155,MFR,8804.0,8797.0,17601.0
156,BFL,8741.0,8741.0,17482.0
157,BIS,8479.0,8479.0,16958.0
158,LNK,8422.0,8424.0,16846.0
159,MSO,8362.0,8360.0,16722.0
160,TTN,8319.0,8331.0,16650.0
161,CRW,8309.0,8311.0,16620.0
162,RDM,8238.0,8237.0,16475.0
163,ACY,8004.0,8004.0,16008.0
164,IDA,7921.0,7925.0,15846.0
165,AGS,7880.0,7882.0,15762.0
166,GNV,7856.0,7862.0,15718.0
167,EYW,7771.0,7772.0,15543.0
168,TVC,7729.0,7729.0,15458.0
169,BMI,7621.0,7617.0,15238.0
170,FAI,7460.0,7462.0,14922.0
171,KTN,7367.0,7369.0,14736.0
172,ISN,7223.0,7239.0,14462.0
173,ROA,7207.0,7214.0,14421.0
174,BRO,7053.0,7058.0,14111.0
175,ILM,6963.0,6965.0,13928.0
176,YUM,6952.0,6952.0,13904.0
177,LRD,6926.0,6929.0,13855.0
178,CHO,6885.0,6892.0,13777.0
179,FCA,6589.0,6589.0,13178.0
180,ABE,6520.0,6524.0,13044.0
181,TRI,6385.0,6380.0,12765.0
182,CLL,6372.0,6370.0,12742.0
183,DLH,6290.0,6294.0,12584.0
184,LAN,6282.0,6282.0,12564.0
185,DRO,6265.0,6267.0,12532.0
186,ELM,6048.0,6048.0,12096.0
187,GTF,5956.0,5956.0,11912.0
188,ACV,5919.0,5921.0,11840.0
189,AZO,5873.0,5874.0,11747.0
190,SGU,5858.0,5858.0,11716.0
191,FSM,5759.0,5758.0,11517.0
192,CPR,5754.0,5751.0,11505.0
193,FAY,5602.0,5599.0,11201.0
194,TYR,5598.0,5597.0,11195.0
195,ABI,5523.0,5522.0,11045.0
196,FLG,5499.0,5499.0,10998.0
197,LCH,5364.0,5363.0,10727.0
198,MBS,5333.0,5332.0,10665.0
199,MOT,5309.0,5308.0,10617.0
200,SPI,5253.0,5253.0,10506.0
201,DAB,5205.0,5206.0,10411.0
202,RST,5079.0,5080.0,10159.0
203,ACT,4941.0,4941.0,9882.0
204,AVP,4837.0,4836.0,9673.0
205,SAF,4804.0,4806.0,9610.0
206,CMI,4738.0,4737.0,9475.0
207,HLN,4721.0,4721.0,9442.0
208,BQN,4718.0,4721.0,9439.0
209,PHF,4568.0,4569.0,9137.0
210,SJT,4559.0,4559.0,9118.0
211,MLB,4350.0,4351.0,8701.0
212,EGE,4168.0,4167.0,8335.0
213,DHN,4133.0,4133.0,8266.0
214,LAW,4111.0,4111.0,8222.0
215,SIT,4080.0,4080.0,8160.0
216,OAJ,3918.0,3921.0,7839.0
