,ROUTE,count,DEST,ORIGIN
93,"Row(_1=u'14747', _2=u'11292')",17752,DEN,SEA
94,"Row(_1=u'10397', _2=u'12892')",17714,LAX,ATL
95,"Row(_1=u'12892', _2=u'10397')",17706,ATL,LAX
96,"Row(_1=u'13303', _2=u'10397')",17682,ATL,MIA
97,"Row(_1=u'10397', _2=u'13303')",17680,MIA,ATL
98,"Row(_1=u'12889', _2=u'14747')",17609,SEA,LAS
99,"Row(_1=u'14747', _2=u'12889')",17586,LAS,SEA
100,"Row(_1=u'13495', _2=u'10397')",17562,ATL,MSY
101,"Row(_1=u'14107', _2=u'14747')",17558,SEA,PHX
102,"Row(_1=u'14869', _2=u'14107')",17554,PHX,SLC
103,"Row(_1=u'10397', _2=u'13495')",17552,MSY,ATL
104,"Row(_1=u'14747', _2=u'14107')",17530,PHX,SEA
105,"Row(_1=u'14107', _2=u'14869')",17521,SLC,PHX
106,"Row(_1=u'11618', _2=u'14771')",17509,SFO,EWR
107,"Row(_1=u'14771', _2=u'11618')",17474,EWR,SFO
108,"Row(_1=u'13487', _2=u'11292')",17408,DEN,MSP
109,"Row(_1=u'11292', _2=u'13487')",17300,MSP,DEN
110,"Row(_1=u'13930', _2=u'11292')",17146,DEN,ORD
111,"Row(_1=u'12173', _2=u'12892')",17112,LAX,HNL
112,"Row(_1=u'12892', _2=u'12173')",17101,HNL,LAX
113,"Row(_1=u'11292', _2=u'13930')",17001,ORD,DEN
114,"Row(_1=u'12478', _2=u'13204')",16792,MCO,JFK
115,"Row(_1=u'13204', _2=u'12478')",16780,JFK,MCO
116,"Row(_1=u'14679', _2=u'14107')",16773,PHX,SAN
117,"Row(_1=u'12892', _2=u'14869')",16734,SLC,LAX
118,"Row(_1=u'10397', _2=u'12451')",16716,JAX,ATL
119,"Row(_1=u'14869', _2=u'12892')",16706,LAX,SLC
120,"Row(_1=u'12451', _2=u'10397')",16697,ATL,JAX
121,"Row(_1=u'14107', _2=u'14679')",16678,SAN,PHX
122,"Row(_1=u'11292', _2=u'10397')",16606,ATL,DEN
123,"Row(_1=u'10397', _2=u'11618')",16571,EWR,ATL
124,"Row(_1=u'11618', _2=u'10397')",16519,ATL,EWR
125,"Row(_1=u'13204', _2=u'11618')",16450,EWR,MCO
126,"Row(_1=u'11618', _2=u'13204')",16448,MCO,EWR
127,"Row(_1=u'10397', _2=u'11292')",16360,DEN,ATL
128,"Row(_1=u'14679', _2=u'12892')",16322,LAX,SAN
129,"Row(_1=u'12892', _2=u'14679')",16317,SAN,LAX
130,"Row(_1=u'10721', _2=u'12478')",16215,JFK,BOS
131,"Row(_1=u'12478', _2=u'10721')",16200,BOS,JFK
132,"Row(_1=u'10397', _2=u'10721')",15899,BOS,ATL
133,"Row(_1=u'10397', _2=u'11433')",15891,DTW,ATL
134,"Row(_1=u'11433', _2=u'10397')",15878,ATL,DTW
135,"Row(_1=u'10721', _2=u'10397')",15876,ATL,BOS
136,"Row(_1=u'10397', _2=u'14492')",15798,RDU,ATL
137,"Row(_1=u'14492', _2=u'10397')",15789,ATL,RDU
138,"Row(_1=u'14771', _2=u'11298')",15749,DFW,SFO
139,"Row(_1=u'11298', _2=u'14771')",15747,SFO,DFW
140,"Row(_1=u'10397', _2=u'13487')",15676,MSP,ATL
141,"Row(_1=u'13487', _2=u'10397')",15665,ATL,MSP
142,"Row(_1=u'11618', _2=u'12892')",15662,LAX,EWR
143,"Row(_1=u'12892', _2=u'11618')",15621,EWR,LAX
144,"Row(_1=u'11697', _2=u'12953')",15615,LGA,FLL
145,"Row(_1=u'12953', _2=u'11697')",15604,FLL,LGA
146,"Row(_1=u'13342', _2=u'13930')",15601,ORD,MKE
147,"Row(_1=u'13930', _2=u'13342')",15594,MKE,ORD
148,"Row(_1=u'10721', _2=u'10821')",15514,BWI,BOS
149,"Row(_1=u'14107', _2=u'14771')",15462,SFO,PHX
150,"Row(_1=u'10821', _2=u'10721')",15448,BOS,BWI
151,"Row(_1=u'11292', _2=u'12266')",15444,IAH,DEN
152,"Row(_1=u'14771', _2=u'14107')",15433,PHX,SFO
