,ROUTE,(delay_count / count),delay_count,count
308,"Row(_1=u'MSP', _2=u'EWR')",0.36036036036,200,555
309,"Row(_1=u'HPN', _2=u'FLL')",0.36023054755,125,347
310,"Row(_1=u'HDN', _2=u'EWR')",0.36,9,25
311,"Row(_1=u'FOE', _2=u'ORD')",0.36,18,50
312,"Row(_1=u'LGA', _2=u'BHM')",0.36,63,175
313,"Row(_1=u'IAD', _2=u'LGA')",0.359504132231,87,242
314,"Row(_1=u'SMF', _2=u'JFK')",0.359375,46,128
315,"Row(_1=u'BOI', _2=u'LAX')",0.359375,138,384
316,"Row(_1=u'CVG', _2=u'PHX')",0.359375,23,64
317,"Row(_1=u'MDW', _2=u'SFO')",0.359281437126,120,334
318,"Row(_1=u'EWR', _2=u'RIC')",0.359066427289,200,557
319,"Row(_1=u'EWR', _2=u'SAT')",0.358974358974,42,117
320,"Row(_1=u'DAY', _2=u'LGA')",0.358695652174,33,92
321,"Row(_1=u'BOS', _2=u'SJU')",0.358458961474,214,597
322,"Row(_1=u'DEN', _2=u'HLN')",0.35838150289,62,173
323,"Row(_1=u'MIA', _2=u'SFO')",0.358333333333,215,600
324,"Row(_1=u'DCA', _2=u'RDU')",0.358208955224,48,134
325,"Row(_1=u'PHL', _2=u'STT')",0.358108108108,53,148
326,"Row(_1=u'MDW', _2=u'OAK')",0.356459330144,149,418
327,"Row(_1=u'IAH', _2=u'JAC')",0.35593220339,21,59
328,"Row(_1=u'DEN', _2=u'FAT')",0.355864811133,179,503
329,"Row(_1=u'FLL', _2=u'CHS')",0.355555555556,32,90
330,"Row(_1=u'ORD', _2=u'RAP')",0.355555555556,16,45
331,"Row(_1=u'JFK', _2=u'CLE')",0.355263157895,27,76
332,"Row(_1=u'BOS', _2=u'CAK')",0.355263157895,27,76
333,"Row(_1=u'PHL', _2=u'SFO')",0.355102040816,348,980
334,"Row(_1=u'ORD', _2=u'MEM')",0.354938271605,230,648
335,"Row(_1=u'BUR', _2=u'JFK')",0.354838709677,55,155
336,"Row(_1=u'LAX', _2=u'ELP')",0.354485776805,162,457
337,"Row(_1=u'SMF', _2=u'SFO')",0.354304635762,321,906
338,"Row(_1=u'CLT', _2=u'CVG')",0.354166666667,34,96
339,"Row(_1=u'DFW', _2=u'AMA')",0.353846153846,230,650
340,"Row(_1=u'ORD', _2=u'JFK')",0.353719008264,214,605
341,"Row(_1=u'MCI', _2=u'SFO')",0.353571428571,99,280
342,"Row(_1=u'FLL', _2=u'RIC')",0.353293413174,59,167
343,"Row(_1=u'FCA', _2=u'ORD')",0.352941176471,6,17
344,"Row(_1=u'EGE', _2=u'PHX')",0.352941176471,6,17
345,"Row(_1=u'TTN', _2=u'TPA')",0.352941176471,24,68
346,"Row(_1=u'MLI', _2=u'DEN')",0.352941176471,30,85
347,"Row(_1=u'KOA', _2=u'DFW')",0.352941176471,6,17
348,"Row(_1=u'MMH', _2=u'SFO')",0.352459016393,43,122
349,"Row(_1=u'LAX', _2=u'BZN')",0.352272727273,31,88
350,"Row(_1=u'DFW', _2=u'CRW')",0.352112676056,25,71
351,"Row(_1=u'DFW', _2=u'LEX')",0.351464435146,84,239
352,"Row(_1=u'EWR', _2=u'MCI')",0.351351351351,78,222
353,"Row(_1=u'CRP', _2=u'DFW')",0.351181102362,223,635
354,"Row(_1=u'SDF', _2=u'IAH')",0.351145038168,92,262
355,"Row(_1=u'HSV', _2=u'ORD')",0.351111111111,79,225
356,"Row(_1=u'ROC', _2=u'LGA')",0.350515463918,34,97
357,"Row(_1=u'BOS', _2=u'LGB')",0.350427350427,41,117
358,"Row(_1=u'DEN', _2=u'SBA')",0.350282485876,124,354
359,"Row(_1=u'EWR', _2=u'SFO')",0.350183448838,859,2453
360,"Row(_1=u'JFK', _2=u'FLL')",0.35006021678,872,2491
361,"Row(_1=u'BRD', _2=u'INL')",0.35,14,40
362,"Row(_1=u'DTW', _2=u'XNA')",0.35,7,20
363,"Row(_1=u'LBE', _2=u'MYR')",0.35,7,20
364,"Row(_1=u'ORD', _2=u'GUC')",0.35,7,20
365,"Row(_1=u'CLT', _2=u'SRQ')",0.35,7,20
366,"Row(_1=u'MSP', _2=u'HNL')",0.349397590361,29,83
367,"Row(_1=u'DCA', _2=u'EWR')",0.349143610013,265,759
368,"Row(_1=u'ROC', _2=u'EWR')",0.349112426036,118,338
